	Rk	Pk	Tm	Player	College	Yrs	G	MP	PTS	TRB	AST	FG%	3P%	FT%	MP	PTS	TRB	AST	WS	WS/48	BPM	VORP
48	47	47	PHI	Russ Smith	University of Louisville	2	27	131	53	15	19	.319	.188	.769	4.9	2.0	0.6	0.7	-0.2	-.068	-6.4	-0.1
49	48	48	MIL	Lamar Patterson	University of Pittsburgh	2	40	435	93	57	45	.326	.236	.720	10.9	2.3	1.4	1.1	0.1	.006	-5.5	-0.4
50	49	49	CHI	Cameron Bairstow	University of New Mexico	2	36	167	44	36	7	.296	.200	.846	4.6	1.2	1.0	0.2	-0.1	-.021	-7.7	-0.2
51	50	50	PHO	Alec Brown	University of Wisconsin-Green Bay																	
52	51	51	NYK	Thanasis Antetokounmpo		1	2	6	6	1	0	.750	.000		3.0	3.0	0.5	0.0	0.0	.291	-4.1	0.0
53	52	52	PHI	Vasilije Micic																		
54	53	53	MIN	Alessandro Gentile																		
55	54	54	PHI	Nemanja Dangubic																		
56	55	55	MIA	Semaj Christon	Xavier University	1	64	973	183	87	130	.345	.190	.548	15.2	2.9	1.4	2.0	0.1	.006	-6.3	-1.1
57	56	56	DEN	Roy Devyn Marble	University of Iowa	2	44	457	97	69	29	.304	.222	.375	10.4	2.2	1.6	0.7	-0.3	-.028	-5.0	-0.3
58	57	57	IND	Louis Labeyrie																		
59	58	58	SAS	Jordan McRae	University of Tennessee	3	78	751	341	82	55	.425	.409	.743	9.6	4.4	1.1	0.7	0.7	.043	-5.4	-0.7
60	59	59	TOR	Xavier Thames	San Diego State University																	
61	60	60	SAS	Cory Jefferson	Baylor University	2	58	581	205	161	16	.444	.125	.583	10.0	3.5	2.8	0.3	0.9	.071	-4.6	-0.4
